age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
35-44,Isla,Female,Widowed,1,Undergraduate,African American,Spanish,USA,Retired,Atheism,1987-09-20,Low,Permanent Resident,Urban,No
25-34,Alice,Non-Binary,Single,2,Doctorate,African American,French,UK,Student,Christianity,1986-02-24,Low,Work Visa,Suburban,Yes
25-34,Hannah,Non-Binary,Single,2,Undergraduate,Hispanic,French,India,Professional,Buddhism,1958-12-21,High,Citizen,Suburban,Yes
65+,Nicholas,Female,Married,5+,Undergraduate,Hispanic,English,Australia,Professional,Islam,1989-07-19,Low,Work Visa,Suburban,No
18-24,Imogen,Female,Single,5+,High School,African American,Mandarin,USA,Professional,Buddhism,1973-10-21,Low,Citizen,Suburban,No
18-24,Olive,Male,Widowed,3-4,Undergraduate,African American,Mandarin,USA,Self-employed,Atheism,1959-09-30,Low,Citizen,Rural,No
25-34,Harley,Non-Binary,Divorced,1,Doctorate,African American,Spanish,USA,Self-employed,Other,1984-05-17,High,Other,Suburban,No
65+,Brianna,Non-Binary,Single,1,Doctorate,Other,Spanish,India,Professional,Buddhism,1960-08-24,Low,Work Visa,Urban,No
<18,Isla,Female,Widowed,2,High School,Asian,Spanish,USA,Professional,Islam,1992-04-19,Moderate,Permanent Resident,Rural,Yes
65+,Brooke,Non-Binary,Single,1,Postgraduate,Hispanic,French,Australia,Professional,Christianity,2000-01-17,High,Permanent Resident,Suburban,No
35-44,Jasper,Female,Single,3-4,Postgraduate,Other,Mandarin,Canada,Student,Atheism,1950-09-27,Moderate,Other,Suburban,Yes
45-54,Olive,Female,Divorced,3-4,Postgraduate,Other,Mandarin,UK,Retired,Atheism,1952-01-18,Low,Work Visa,Suburban,Yes
45-54,Taylor,Non-Binary,Single,5+,Doctorate,Hispanic,French,Canada,Professional,Other,1991-08-23,High,Permanent Resident,Urban,Yes
18-24,Paisley,Male,Widowed,5+,Postgraduate,African American,Spanish,UK,Self-employed,Other,1976-11-01,Moderate,Work Visa,Urban,Yes
<18,William,Non-Binary,Single,3-4,Doctorate,African American,Mandarin,Canada,Professional,Buddhism,1994-04-13,High,Permanent Resident,Rural,No
55-64,Iris,Non-Binary,Single,5+,High School,Other,French,Canada,Retired,Christianity,1991-06-05,Moderate,Work Visa,Rural,No
<18,Eve,Non-Binary,Married,2,High School,Asian,Spanish,India,Self-employed,Buddhism,1969-09-20,Moderate,Citizen,Suburban,No
18-24,Jordan,Female,Married,2,Postgraduate,Caucasian,Mandarin,Canada,Retired,Atheism,1985-09-29,Low,Work Visa,Urban,Yes
45-54,Gianna,Non-Binary,Widowed,5+,Postgraduate,African American,English,USA,Retired,Christianity,1989-07-03,High,Work Visa,Rural,Yes
65+,Gabriel,Male,Divorced,1,Doctorate,Asian,Spanish,Australia,Self-employed,Islam,1976-10-20,High,Other,Suburban,Yes
18-24,Brianna,Male,Single,3-4,Postgraduate,Asian,Mandarin,Canada,Self-employed,Islam,1995-05-23,High,Other,Urban,Yes
25-34,Bryson,Male,Single,1,Postgraduate,African American,Other,USA,Professional,Atheism,1963-06-02,Low,Work Visa,Rural,Yes
45-54,Samuel,Non-Binary,Divorced,3-4,Undergraduate,African American,Mandarin,UK,Professional,Other,1947-04-16,Low,Work Visa,Suburban,No
<18,Gemma,Non-Binary,Married,2,Undergraduate,Other,Mandarin,India,Retired,Other,2000-11-04,Moderate,Other,Suburban,No
25-34,Delilah,Non-Binary,Divorced,3-4,Postgraduate,Other,French,Canada,Student,Christianity,2002-08-03,High,Other,Urban,No
<18,Quincy,Non-Binary,Married,5+,Undergraduate,Other,Other,India,Retired,Christianity,1991-12-03,Low,Other,Rural,No
55-64,Ian,Female,Widowed,2,Undergraduate,Other,Mandarin,Canada,Professional,Islam,1959-10-19,High,Other,Urban,Yes
35-44,Zeke,Non-Binary,Single,2,Postgraduate,African American,English,India,Professional,Christianity,1973-09-28,High,Permanent Resident,Rural,No
18-24,Colton,Non-Binary,Single,2,Postgraduate,Asian,English,India,Self-employed,Atheism,2006-06-11,Moderate,Citizen,Rural,No
<18,Paisley,Female,Single,3-4,High School,Asian,Other,UK,Self-employed,Islam,1991-01-23,Moderate,Work Visa,Suburban,No
65+,Sienna,Non-Binary,Divorced,2,Undergraduate,Caucasian,Other,India,Self-employed,Christianity,1952-04-02,Moderate,Other,Urban,No
25-34,Victoria,Male,Divorced,1,Doctorate,Hispanic,Mandarin,Canada,Retired,Islam,2006-08-04,Low,Work Visa,Urban,No
35-44,Ethan,Male,Single,5+,Postgraduate,Asian,French,Australia,Self-employed,Buddhism,1942-07-08,High,Other,Suburban,No
35-44,Riley,Female,Divorced,2,Undergraduate,Other,Other,Australia,Professional,Christianity,1980-05-31,High,Permanent Resident,Rural,Yes
35-44,Laura,Female,Divorced,1,Doctorate,Hispanic,English,Canada,Self-employed,Other,1947-04-26,Moderate,Work Visa,Suburban,No
<18,Peyton,Male,Married,2,Doctorate,Asian,Mandarin,UK,Professional,Atheism,1991-12-24,High,Work Visa,Rural,Yes
45-54,Rachel,Non-Binary,Widowed,3-4,Doctorate,Hispanic,Spanish,India,Professional,Atheism,1974-05-16,Low,Work Visa,Urban,Yes
55-64,Quinn,Male,Divorced,5+,Undergraduate,African American,Other,Australia,Self-employed,Other,1964-05-14,Moderate,Work Visa,Urban,Yes
45-54,Yosef,Non-Binary,Single,3-4,High School,Hispanic,French,Canada,Professional,Atheism,1986-08-20,Moderate,Work Visa,Suburban,No
25-34,Isla,Non-Binary,Widowed,5+,Undergraduate,African American,English,UK,Retired,Hinduism,1952-03-18,Low,Other,Rural,No
45-54,Rebecca,Non-Binary,Widowed,5+,Postgraduate,Other,Mandarin,UK,Retired,Buddhism,1957-07-10,Low,Work Visa,Rural,No
55-64,Eleanor,Female,Widowed,5+,Undergraduate,African American,Other,UK,Self-employed,Christianity,1982-07-24,High,Permanent Resident,Rural,No
55-64,Xena,Male,Divorced,1,Undergraduate,Other,English,UK,Student,Hinduism,1972-08-26,Moderate,Other,Urban,No
35-44,Piper,Male,Single,3-4,Postgraduate,Other,Spanish,India,Student,Islam,1994-09-10,Low,Citizen,Rural,Yes
55-64,Tucker,Non-Binary,Widowed,3-4,Undergraduate,Asian,Mandarin,USA,Student,Hinduism,1941-01-24,High,Other,Suburban,No
