age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
<18,Olivia,Male,Divorced,3-4,Doctorate,African American,English,India,Retired,Islam,2001-10-04,High,Citizen,Rural,No
18-24,Tucker,Female,Single,3-4,Doctorate,Hispanic,Other,Canada,Self-employed,Other,1986-01-23,High,Other,Suburban,Yes
<18,Felicity,Non-Binary,Married,2,Undergraduate,Asian,English,India,Professional,Christianity,2002-08-04,Low,Other,Urban,No
25-34,Julian,Female,Divorced,2,Postgraduate,Hispanic,French,Australia,Student,Other,1972-09-11,High,Work Visa,Urban,No
<18,Tucker,Non-Binary,Single,5+,Undergraduate,Caucasian,Other,India,Retired,Christianity,1976-05-26,High,Work Visa,Rural,No
55-64,Daisy,Non-Binary,Married,1,Postgraduate,Asian,English,USA,Self-employed,Christianity,1950-11-20,Moderate,Work Visa,Rural,No
18-24,Quintin,Male,Divorced,3-4,Doctorate,Caucasian,Other,UK,Self-employed,Atheism,1995-05-20,Low,Other,Urban,Yes
45-54,Flynn,Male,Divorced,1,Postgraduate,Hispanic,Spanish,Canada,Retired,Hinduism,1977-12-19,Low,Permanent Resident,Suburban,Yes
25-34,Paisley,Male,Married,1,Undergraduate,Asian,Mandarin,Australia,Retired,Atheism,1976-03-04,High,Work Visa,Urban,Yes
55-64,Hudson,Male,Married,3-4,High School,Caucasian,French,India,Student,Christianity,1987-02-27,Moderate,Citizen,Rural,Yes
<18,Gideon,Male,Married,3-4,High School,Asian,Mandarin,Canada,Retired,Islam,1961-07-18,Low,Work Visa,Urban,No
65+,Connor,Male,Single,1,High School,Hispanic,English,USA,Self-employed,Islam,1970-12-12,High,Work Visa,Suburban,Yes
35-44,Elliot,Non-Binary,Single,1,High School,Asian,French,India,Self-employed,Other,1959-04-13,High,Work Visa,Urban,Yes
<18,Parker,Female,Divorced,5+,Doctorate,Other,English,USA,Professional,Atheism,2000-07-11,Moderate,Work Visa,Urban,Yes
25-34,Vivian,Male,Divorced,3-4,High School,Other,Spanish,UK,Student,Hinduism,1966-02-26,Low,Citizen,Urban,No
55-64,Maddox,Female,Single,3-4,Doctorate,Other,English,Canada,Student,Other,1961-08-10,Moderate,Work Visa,Urban,Yes
65+,Faith,Male,Single,1,Undergraduate,Caucasian,Spanish,USA,Self-employed,Christianity,1973-03-23,High,Other,Urban,No
18-24,Hannah,Non-Binary,Single,3-4,Postgraduate,African American,English,Canada,Self-employed,Other,1961-04-23,High,Permanent Resident,Rural,Yes
65+,Grayson,Male,Married,3-4,Undergraduate,African American,Other,USA,Retired,Atheism,2001-10-02,Low,Other,Urban,No
35-44,Rebecca,Non-Binary,Single,2,Undergraduate,Caucasian,French,India,Self-employed,Buddhism,1944-09-08,High,Citizen,Urban,No
18-24,Julian,Female,Single,1,Doctorate,Asian,English,Canada,Self-employed,Other,1941-10-18,Moderate,Other,Rural,No
65+,Oliver,Male,Divorced,2,Postgraduate,Other,Other,UK,Retired,Buddhism,1953-04-12,Low,Citizen,Urban,Yes
